,Article_Name,Article_ID
0,%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,A0001
1,%C3%85land,A0002
2,%C3%89douard_Manet,A0003
3,%C3%89ire,A0004
4,%C3%93engus_I_of_the_Picts,A0005
5,%E2%82%AC2_commemorative_coins,A0006
6,10th_century,A0007
7,11th_century,A0008
8,12th_century,A0009
9,13th_century,A0010
10,14th_century,A0011
11,15th_Marine_Expeditionary_Unit,A0012
12,15th_century,A0013
13,16_Cygni,A0014
14,16_Cygni_Bb,A0015
15,16th_century,A0016
16,1755_Lisbon_earthquake,A0017
17,17th_century,A0018
18,1896_Summer_Olympics,A0019
19,18th_century,A0020
20,1928_Okeechobee_Hurricane,A0021
21,1973_oil_crisis,A0022
22,1980_eruption_of_Mount_St._Helens,A0023
23,1997_Pacific_hurricane_season,A0024
24,19th_century,A0025
25,1_Ceres,A0026
26,1st_century,A0027
27,1st_century_BC,A0028
28,2-6-0,A0029
29,2-8-0,A0030
30,2003_Atlantic_hurricane_season,A0031
31,2004_Atlantic_hurricane_season,A0032
32,2004_Indian_Ocean_earthquake,A0033
33,2005_Atlantic_hurricane_season,A0034
34,2005_Hertfordshire_Oil_Storage_Terminal_fire,A0035
35,2005_Kashmir_earthquake,A0036
36,2005_Lake_Tanganyika_earthquake,A0037
37,2005_Sumatra_earthquake,A0038
38,20th_century,A0039
39,21st_century,A0040
40,2nd_century,A0041
41,3_Juno,A0042
42,3rd_century,A0043
43,4-2-0,A0044
44,4-4-0,A0045
45,4-6-0,A0046
46,47_Ursae_Majoris,A0047
47,47_Ursae_Majoris_b,A0048
48,47_Ursae_Majoris_c,A0049
49,4_Vesta,A0050
50,4th_century,A0051
51,55_Cancri,A0052
52,55_Cancri_b,A0053
53,55_Cancri_c,A0054
54,55_Cancri_d,A0055
55,55_Cancri_e,A0056
56,5th_century,A0057
57,6-2-0,A0058
58,6th_century,A0059
59,7th_century,A0060
60,8th_century,A0061
61,90377_Sedna,A0062
62,9th_century,A0063
63,A._E._J._Collins,A0064
64,ABO_blood_group_system,A0065
65,AC_DC,A0066
66,AIDS,A0067
67,AK-47,A0068
68,ALCO_FA,A0069
69,ASCII,A0070
70,AT%26T,A0071
71,ATLAS_experiment,A0072
72,A_Christmas_Carol,A0073
73,A_Tale_of_a_Tub,A0074
74,A_Wrinkle_in_Time,A0075
75,A_cappella,A0076
76,Aachen,A0077
77,Aardvark,A0078
78,Aarhus,A0079
79,Abac%C3%A1,A0080
80,Abacus,A0081
81,Abadan,A0082
82,Abbadid,A0083
83,Abbas_I_of_Persia,A0084
84,Abbasid,A0085
85,Abbey,A0086
86,Abbey_Theatre,A0087
87,Abbot,A0088
88,Abel_Tasman,A0089
89,Aberdeen,A0090
90,Aberration_of_light,A0091
91,Aberystwyth,A0092
92,Abhidhamma_Pitaka,A0093
93,Abidjan,A0094
94,Abkhazia,A0095
95,Able_Archer_83,A0096
96,Abraham_Goldfaden,A0097
97,Abraham_Lincoln,A0098
98,Absinthe,A0099
99,Absolute_zero,A0100
100,Abstract_art,A0101
101,Abu_Dhabi,A0102
102,Abuja,A0103
103,Acceleration,A0104
104,Accountancy,A0105
105,Accra,A0106
106,Acetic_acid,A0107
107,Acetone,A0108
108,Achilles,A0109
109,Achilles_tendon,A0110
110,Acid_rain,A0111
111,Acorn_Computers,A0112
112,Actinium,A0113
113,Action_potential,A0114
114,Actor,A0115
115,Acts_of_Union_1707,A0116
116,Actuary,A0117
117,Adam_Smith,A0118
118,Addis_Ababa,A0119
119,Adelaide,A0120
120,Adenosine_triphosphate,A0121
121,Adi_Shankara,A0122
122,Adolf_Hitler,A0123
123,Adriaen_van_der_Donck,A0124
124,Advertising,A0125
125,Aesthetics,A0126
126,Afghan_Hound,A0127
127,Afghanistan,A0128
128,Africa,A0129
129,African_American_literature,A0130
130,African_Black_Oystercatcher,A0131
131,African_Brush-tailed_Porcupine,A0132
132,African_Buffalo,A0133
133,African_Darter,A0134
134,African_Great_Lakes,A0135
135,African_Grey_Hornbill,A0136
136,African_Grey_Parrot,A0137
137,African_Jacana,A0138
138,African_Penguin,A0139
139,African_Union,A0140
140,African_Wild_Dog,A0141
141,African_clawed_frog,A0142
142,African_dwarf_frog,A0143
143,African_slave_trade,A0144
144,Afrikaans,A0145
145,Agamemnon,A0146
146,Age_of_Enlightenment,A0147
147,Aggregator,A0148
148,Agnosticism,A0149
149,Agriculture,A0150
150,Airbus,A0151
151,Airbus_A380,A0152
152,Aircraft,A0153
153,Aircraft_carrier,A0154
154,Airship,A0155
155,Ajax_%28programming%29,A0156
156,Akbar,A0157
157,Akhenaten,A0158
158,Akira_Kurosawa,A0159
159,Akkadian_Empire,A0160
160,Akrotiri_and_Dhekelia,A0161
161,Aksumite_currency,A0162
162,Al_Jazeera,A0163
163,Alamosaurus,A0164
164,Alan_Turing,A0165
165,Albania,A0166
166,Albatross,A0167
167,Albert_Einstein,A0168
168,Alberto_Santos-Dumont,A0169
169,Albertosaurus,A0170
170,Albigensian_Crusade,A0171
171,Albinism,A0172
172,Albrecht_D%C3%BCrer,A0173
173,Albrecht_Rodenbach,A0174
174,Alchemy,A0175
175,Alcibiades,A0176
176,Alcohol,A0177
177,Aleksandr_Pushkin,A0178
178,Aleksandr_Vasilevsky,A0179
179,Aleksey_Arakcheyev,A0180
180,Alexander_Graham_Bell,A0181
181,Alexander_Hamilton,A0182
182,Alexander_the_Great,A0183
183,Alfred_Hitchcock,A0184
184,Alfred_Nobel,A0185
185,Alfred_the_Great,A0186
186,Algebra,A0187
187,Algeria,A0188
188,Algerian_Civil_War,A0189
189,Algiers,A0190
190,Algol,A0191
191,Algoma_Central_Railway,A0192
192,Algorithm,A0193
193,Alice%27s_Adventures_in_Wonderland,A0194
194,All_Blacks,A0195
195,All_You_Need_Is_Love_%28The_JAMs_song%29,A0196
196,All_your_base_are_belong_to_us,A0197
197,Allah,A0198
198,Allegory_in_the_Middle_Ages,A0199
199,Alligator,A0200
200,Alliterative_verse,A0201
201,Allosaurus,A0202
202,Almaty,A0203
203,Almond,A0204
204,Alpaca,A0205
205,Alphabet,A0206
206,Alternating_current,A0207
207,Alternation_of_generations,A0208
208,Alternative_rock,A0209
209,Aluminium,A0210
210,Aluminium_chloride,A0211
211,Alzheimer%27s_disease,A0212
212,Amaranth_oil,A0213
213,Amarillo%2C_Texas,A0214
214,Amazon_Basin,A0215
215,Amazon_Rainforest,A0216
216,Amazon_River,A0217
217,Amazon_parrot,A0218
218,Amber,A0219
219,Amda_Seyon_I,A0220
220,American_Civil_War,A0221
221,American_English,A0222
222,American_Revolutionary_War,A0223
223,American_Samoa,A0224
224,American_football,A0225
225,American_popular_music,A0226
226,Americium,A0227
227,Amish,A0228
228,Ammolite,A0229
229,Ammonia,A0230
230,Ammonite,A0231
231,Ammosaurus,A0232
232,Amsterdam,A0233
233,Amtrak,A0234
234,Amur,A0235
235,Anaconda,A0236
236,Analytical_Marxism,A0237
237,Anarchism,A0238
238,Anarcho-capitalism,A0239
239,Anatomy,A0240
240,Ancient_Egypt,A0241
241,Ancient_Greece,A0242
242,Ancient_Rome,A0243
243,Ancient_history,A0244
244,Andes,A0245
245,Andorra,A0246
246,Andr%C3%A9s_Nocioni,A0247
247,Andrew_Carnegie,A0248
248,Andrew_Dickson_White,A0249
249,Andrew_Gonzalez,A0250
250,Andrew_Jackson,A0251
251,Andrew_Johnson,A0252
252,Andrew_Robinson,A0253
253,Andriyivskyy_Descent,A0254
254,Andromeda_Galaxy,A0255
255,Andy_Warhol,A0256
256,Anemia,A0257
257,Angel_shark,A0258
258,Angelica,A0259
259,Angkor,A0260
260,Angkor_Wat,A0261
261,Anglican_Church_of_Australia,A0262
262,Anglican_Communion,A0263
263,Anglicanism,A0264
264,Anglo-Saxon_literature,A0265
265,Angola,A0266
266,Anguilla,A0267
267,Animal,A0268
268,Animal_law,A0269
269,Animal_rights,A0270
270,Animation,A0271
271,Ankylosaurus,A0272
272,Ann_Arbor%2C_Michigan,A0273
273,Anna_Karenina,A0274
274,Anne_Frank,A0275
275,Anne_of_Great_Britain,A0276
276,Annibale_Bugnini,A0277
277,Anno_Domini,A0278
278,Anschluss,A0279
279,Ant,A0280
280,Antananarivo,A0281
281,Antarctic_Treaty_System,A0282
282,Antarctic_krill,A0283
283,Antarctica,A0284
284,Antarctosaurus,A0285
285,Anteater,A0286
286,Antelope,A0287
287,Anthony_van_Dyck,A0288
288,Anthropology,A0289
289,Antigua_and_Barbuda,A0290
290,Antimony,A0291
291,Antlion,A0292
292,Antoine_Lavoisier,A0293
293,Anton%C3%ADn_Dvo%C5%99%C3%A1k,A0294
294,Anton_Alexander_von_Werner,A0295
295,Antonio_Vivaldi,A0296
296,Antwerp,A0297
297,Apaochi,A0298
298,Apatosaurus,A0299
299,Ape,A0300
300,Aphid,A0301
301,Apollo,A0302
302,Apollo_11,A0303
