,Human_Path_Length,Shortest_Path_Length,Ratio
0,8,3,2.6666666666666665
1,4,3,1.3333333333333333
2,7,3,2.3333333333333335
3,3,2,1.5
4,6,3,2.0
5,5,3,1.6666666666666667
6,3,3,1.0
7,5,3,1.6666666666666667
8,3,3,1.0
9,6,3,2.0
10,12,3,4.0
11,9,3,3.0
12,4,3,1.3333333333333333
13,15,3,5.0
14,8,3,2.6666666666666665
15,4,3,1.3333333333333333
16,14,3,4.666666666666667
17,9,3,3.0
18,7,3,2.3333333333333335
19,13,3,4.333333333333333
20,7,3,2.3333333333333335
21,6,3,2.0
22,3,3,1.0
23,3,3,1.0
24,4,3,1.3333333333333333
25,9,3,3.0
26,3,3,1.0
27,6,3,2.0
28,3,3,1.0
29,3,3,1.0
30,4,3,1.3333333333333333
31,4,3,1.3333333333333333
32,7,3,2.3333333333333335
33,3,3,1.0
34,5,3,1.6666666666666667
35,5,3,1.6666666666666667
36,15,2,7.5
37,3,2,1.5
38,5,2,2.5
39,5,2,2.5
40,3,2,1.5
41,26,3,8.666666666666666
42,9,3,3.0
43,5,3,1.6666666666666667
44,6,3,2.0
45,6,3,2.0
46,4,3,1.3333333333333333
47,6,3,2.0
48,5,3,1.6666666666666667
49,5,3,1.6666666666666667
50,3,2,1.5
51,9,4,2.25
52,8,5,1.6
53,7,3,2.3333333333333335
54,4,3,1.3333333333333333
55,3,1,3.0
56,16,2,8.0
57,21,2,10.5
58,6,2,3.0
59,5,2,2.5
60,3,2,1.5
61,5,2,2.5
62,2,2,1.0
63,4,2,2.0
64,3,2,1.5
65,4,3,1.3333333333333333
66,7,2,3.5
67,3,2,1.5
68,5,2,2.5
69,3,2,1.5
70,3,2,1.5
71,13,3,4.333333333333333
72,5,4,1.25
73,9,4,2.25
74,5,3,1.6666666666666667
75,4,3,1.3333333333333333
76,3,2,1.5
77,4,3,1.3333333333333333
78,7,3,2.3333333333333335
79,3,3,1.0
80,3,3,1.0
81,4,2,2.0
82,6,2,3.0
83,5,2,2.5
84,4,3,1.3333333333333333
85,3,3,1.0
86,8,4,2.0
87,10,4,2.5
88,7,4,1.75
89,8,4,2.0
90,17,4,4.25
91,5,4,1.25
92,5,4,1.25
93,4,4,1.0
94,14,4,3.5
95,7,4,1.75
96,7,4,1.75
97,6,4,1.5
98,6,4,1.5
99,5,4,1.25
100,6,4,1.5
101,9,4,2.25
102,5,4,1.25
103,6,4,1.5
104,18,4,4.5
105,14,4,3.5
106,7,4,1.75
107,6,4,1.5
108,4,3,1.3333333333333333
109,4,3,1.3333333333333333
110,5,2,2.5
111,4,2,2.0
112,2,2,1.0
113,4,2,2.0
114,2,2,1.0
115,6,2,3.0
116,3,2,1.5
117,4,2,2.0
118,5,2,2.5
119,6,2,3.0
120,2,2,1.0
121,7,2,3.5
122,6,3,2.0
123,4,3,1.3333333333333333
124,3,3,1.0
125,6,3,2.0
126,10,4,2.5
127,6,4,1.5
128,3,3,1.0
129,20,4,5.0
130,9,4,2.25
131,9,4,2.25
132,13,4,3.25
133,9,4,2.25
134,5,3,1.6666666666666667
135,6,3,2.0
136,5,3,1.6666666666666667
137,3,3,1.0
138,5,4,1.25
139,7,4,1.75
140,16,4,4.0
141,5,4,1.25
142,16,4,4.0
143,8,4,2.0
144,7,4,1.75
145,5,4,1.25
146,9,4,2.25
147,6,4,1.5
148,5,4,1.25
149,7,4,1.75
150,6,4,1.5
151,5,4,1.25
152,5,4,1.25
153,5,4,1.25
154,6,4,1.5
155,7,4,1.75
156,7,4,1.75
157,11,4,2.75
158,4,4,1.0
159,13,4,3.25
160,6,4,1.5
161,4,4,1.0
162,4,4,1.0
163,5,4,1.25
164,7,4,1.75
165,4,4,1.0
